lagtime	RRD_pR|all	RRD_pB|all	se_pR|all	se_pB|all
157	0.000265656401654363	0.000594067195144901	0.0002702765069536	0.000330791823505689
158	0.000255873478572449	0.000634795701062491	0.000270101223009509	0.000330836806457674
159	0.000254264598112001	0.0006563842778426	0.00026991199688702	0.000330871282771045
160	0.000258276132107759	0.00064405370769347	0.000269715053621807	0.000330893481342686
161	0.000246263300308406	0.000651697521576736	0.000269513689425035	0.000330918734108814
162	0.000249539357078048	0.000630278465669568	0.00026930366239523	0.000330958331311691
163	0.000270970329577321	0.000610459735011063	0.000269088838392478	0.000331005210759819
164	0.000321050437359911	0.000602769463750712	0.000268865830110207	0.000331053361403546
165	0.000345701308217931	0.000626085912397016	0.000268629596267107	0.000331097558782288
166	0.000357391908065973	0.000540207520220162	0.000268368656758826	0.000331111222554952
167	0.000368438058174189	0.000392247977242505	0.000268083156845277	0.000331084990062373
168	0.000404286521534868	0.000336097913340472	0.000267754138853363	0.000330980949135313
