lagtime	RRD_p|antQ0.00876-0.1	RRD_p|antQ0.1-0.2	RRD_p|antQ0.2-0.5	RRD_p|antQ0.5-1	RRD_p|antQ1-20.2	se_p|antQ0.00876-0.1	se_p|antQ0.1-0.2	se_p|antQ0.2-0.5	se_p|antQ0.5-1	se_p|antQ1-20.2
73	-0.000974962971572403	0.000649643158883881	0.0028714228565246	0.00236924019912082	0.00125028428634394	0.000394169973793059	0.000404853037041667	0.000306165309531736	0.000426223740515597	0.000367100799993155
74	-0.00127863393718999	0.000988108742385945	0.00263649545037756	0.00163998679594697	0.000916864471724804	0.00039413104716574	0.000404819978227625	0.000306159234185399	0.000426166089078257	0.000367091533756625
75	-0.00126336361057897	0.000865749828384566	0.00276829977972089	0.00200302629156393	0.000408542847298212	0.000394077918287313	0.000404776388879835	0.000306136944033347	0.000426112267579568	0.000367092835489189
76	-0.00147349304633107	0.00110966814111355	0.00309258209114528	0.00233628372077392	0.000966511376676601	0.000394055920347101	0.000404722216522195	0.000306100546418483	0.000426023059202923	0.000367103863947024
77	-0.00124579187619016	0.00101427386457136	0.00244551115591254	0.00256047780560011	0.00129919758389461	0.000394003962918046	0.000404670772560549	0.000306079664313854	0.000425940675007273	0.000367104042038574
78	-0.00140916965957292	0.000841947925983703	0.00176679361191203	0.00270999502147425	0.000727663179701006	0.000393903923941322	0.00040460692985264	0.000306045969525911	0.000425887581595887	0.000367088324152339
79	-0.00147712598820523	0.000792661498008079	0.00196564354196377	0.00233413549593435	0.000511016552611594	0.000393821622701343	0.000404541748536138	0.000306024871471679	0.000425817821854996	0.000367057897506558
80	-0.00156184723555009	0.00125922638594951	0.00231881027562181	0.00184480790673837	0.000777018980260105	0.0003937402967976	0.000404464712843975	0.000305970465283452	0.000425765812613206	0.000367035842902735
81	-0.00154870487441381	0.00130643293947018	0.00218195434609382	0.00193584091753691	3.0931124203302e-05	0.000393681219356975	0.000404384486762219	0.000305913782666991	0.000425675373347856	0.000366988326895214
82	-0.0018102345827145	0.00169455697972561	0.00212925801691169	0.00196000950609861	0.00042208357776396	0.000393627224403707	0.000404292054034133	0.000305861314837908	0.000425541377175137	0.000366981039658473
83	-0.00164464957389157	0.00120694494079145	0.00193490600297315	0.00217502136529965	0.00120617009454264	0.000393569587846103	0.000404215801924336	0.000305808585102596	0.000425408628711197	0.000366886666375505
84	-0.00146563547769266	0.000492325650862082	0.00216259663130061	0.00264756620736312	0.000724361269219159	0.000393520785991487	0.000404143898683086	0.000305746150762185	0.000425259738470917	0.000366872419017611
85	-0.00162288427209823	0.000458806928180482	0.00273622134611765	0.00206971882855677	0.00056786493620189	0.00039350828001122	0.000404071891028666	0.000305645873700141	0.000425050666510795	0.00036683112133106
86	-0.00146836611870865	0.000376589477377957	0.00274167391409297	0.0022978840246556	0.00100660577020222	0.000393492110042983	0.000403991985202774	0.000305523724924179	0.000424825074242581	0.000366803997342342
87	-0.00122447247828654	0.000426459944497974	0.00218942348936062	0.00245634078674359	0.000482074336508703	0.00039346660276873	0.000403916348243343	0.000305428808256721	0.00042450295800716	0.000366756258524595
88	-0.00112016918739191	0.000291541033436797	0.00225627657741042	0.00232343260993928	0.000765720036439605	0.000393436666909342	0.000403836833309008	0.000305310302135753	0.000424138088464054	0.000366733718485778
89	-0.00168810004337017	-9.0094998216363e-06	0.00265832511408514	0.00221508071745202	0.00107820358528959	0.000393405883045977	0.000403747088107632	0.000305185532387553	0.000423799773698028	0.00036671448276649
90	-0.00145859637129651	5.11235016319293e-05	0.00238849657596006	0.00204347098979946	0.000898525030934996	0.000393440743484547	0.000403656872541887	0.000305071833986292	0.000423364474518604	0.000366693529713223
91	-0.00115676081522005	0.000370543072882774	0.00184215701428477	0.00201398232739959	-0.000187681023192853	0.000393489351246992	0.000403550409866604	0.000304944533636315	0.000422989703847078	0.000366678582639604
92	-0.00132644085007448	0.000436359325701244	0.00193574704799164	0.00230907664560718	8.5077108321028e-05	0.000393493534244292	0.000403435065227435	0.000304796477821131	0.000422646115937022	0.000366668266574955
93	-0.00162691891139899	-0.000203589988859028	0.00173383297276391	0.00210282352474203	0.000538830049975044	0.000393459671262271	0.000403318984543534	0.000304657950461555	0.000422239416039937	0.00036659839324058
94	-0.00188719309656338	-0.000133781436562395	0.0019444982492758	0.00267783257130441	5.88603635725382e-05	0.000393420686483442	0.000403194579347147	0.000304508311112676	0.000421919824286651	0.00036649536355885
95	-0.00158541421640227	0.00034600511439571	0.0015803194197698	0.00308471911584555	-9.70760132959557e-06	0.000393383573537056	0.000403063686707399	0.000304339582596805	0.000421512228897458	0.000366373303161364
96	-0.00141663017876601	0.00100122570154257	0.00148251159374162	0.00298616505798365	0.000105868035615339	0.000393350546180583	0.000402900012312981	0.000304125741416554	0.000421072753258095	0.000366230043920806
97	-0.0014217986892206	0.000566663921308853	0.00129529881762474	0.0022579495323358	0.000287100614856671	0.000393307629322528	0.000402732650287484	0.000303889115568632	0.000420535062567071	0.000365979705931662
98	-0.00179023120700257	0.000116759469995522	0.0013361897090745	0.00234013824531444	0.000864553855038727	0.000393240476689051	0.00040253159384833	0.000303619316334136	0.00041994903029869	0.000365699317172657
99	-0.00159986628464326	0.000292406618603591	0.00124412737303251	0.00250427717601032	0.000742519776254892	0.000393160991264236	0.000402242268075862	0.00030330847259583	0.000419227092153028	0.00036532250929697
100	-0.0015047981735736	0.00026488597987529	0.00107580171283633	0.00335757792486192	0.00120693405861436	0.000393072854357687	0.000402108392515711	0.00030291235093702	0.000418197839686722	0.000363347228573418
