lagtime	wtd_avg_RRD_p|antQ0.0221-0.1	wtd_avg_RRD_p|antQ0.1-0.2	wtd_avg_RRD_p|antQ0.2-0.4	wtd_avg_RRD_p|antQ0.4-2.86	se_p|antQ0.0221-0.1	se_p|antQ0.1-0.2	se_p|antQ0.2-0.4	se_p|antQ0.4-2.86
80	-0.00156525209504193	0.000799470084107574	0.0025024282544625	0.00247589658390725	0.000233480829623798	0.000192071400361244	0.000196306547990114	0.000226683059897497
81	-0.00168202242675983	0.000812656050672546	0.00262729520351748	0.00264342414704668	0.000233467980812994	0.00019210810055744	0.000196305004769377	0.000226672903417398
82	-0.00163801053233607	0.000866669848930364	0.002697072650851	0.00279022401265251	0.000233452574092357	0.000192123334178059	0.000196306618519143	0.000226644575286711
83	-0.00156608353605506	0.000882980620117193	0.00260611507392774	0.00287286764780914	0.000233451760882768	0.000192116369958882	0.000196327078132193	0.000226629102221651
84	-0.00155870241149595	0.000824818946184582	0.00245539292300607	0.00281828293578746	0.000233449152686565	0.000192105482244063	0.000196331315640493	0.000226625834866569
85	-0.00161390620389351	0.000929657259683007	0.00232662666973768	0.00294111146536926	0.000233433030175879	0.000192079619055181	0.000196318235319815	0.000226611714750931
86	-0.00163857997855778	0.000961652362613891	0.00222475665718219	0.00298475946942086	0.000233410545704403	0.000192061069877958	0.000196296692769173	0.000226522977958152
87	-0.00161351971137817	0.00092968026159029	0.00222148005230587	0.00298249167095474	0.00023339615864795	0.000192056765829186	0.000196238406327931	0.000226510163691044
88	-0.0015331513646006	0.000822479296696576	0.00218855254613204	0.00275968073091268	0.000233388246893243	0.000192079659328301	0.000196180952327964	0.000226520132418651
89	-0.0015664865629543	0.000643410009540121	0.00212071580760997	0.00254552651173944	0.000233379105296026	0.000192097217161357	0.000196133198656321	0.000226348136606795
90	-0.00159657610044311	0.000470120400011366	0.002041929306634	0.00260446007046556	0.000233369235562851	0.000192121713482483	0.000196089580507763	0.000226174192489108
91	-0.00150725817877405	0.000469268987775611	0.00197965487525141	0.00244991489928584	0.000233368500227362	0.000192122922786657	0.00019606330306459	0.000226109839625282
92	-0.00137207581301833	0.000539542137270494	0.00194035592750983	0.00235786298363707	0.000233355224024803	0.000192123707275357	0.000196010489908849	0.000226094820106386
93	-0.00145085855300842	0.000504464190501507	0.00199537326560374	0.00250109214717812	0.000233338858836628	0.000192122306917347	0.000195967022224868	0.000226101136875983
94	-0.00151593345698359	0.000491697327495934	0.00199098521077168	0.00293593384807652	0.000233332729385294	0.000192089759082537	0.000195935947984351	0.000226131677726154
95	-0.00142001047951489	0.000465815275662445	0.00190975370433945	0.00281960455243417	0.000233329580579877	0.000192055708343759	0.000195901026810789	0.000226161585619467
96	-0.0012867420633737	0.00049362995621407	0.00192142088005017	0.00271710003151844	0.000233329175152773	0.000192016221468504	0.00019584197647595	0.000226173543137618
97	-0.00119062525287456	0.000624050344946622	0.00191420067366675	0.00263877194759502	0.000233358666375129	0.000191982412466109	0.000195764536000323	0.000226154099237183
98	-0.00117142680521303	0.000670134522450917	0.00200797088129358	0.00247866534493705	0.000233391153852888	0.000191952639981979	0.000195647867199065	0.000226118593534336
99	-0.00121839688110539	0.000630292389017651	0.00196698134663129	0.00247911564242623	0.000233425167234447	0.000191933932668419	0.00019556906328505	0.000226090798933136
100	-0.00127293489453169	0.000564320458184762	0.0018853399079502	0.00243000851248115	0.000233456003920971	0.00019193851475329	0.000195532980979546	0.000226072000167264
101	-0.00137311739681311	0.000481002033165594	0.0019041223070256	0.00239492851005434	0.000233463462334454	0.000191975276979907	0.000195504658863372	0.000226060828436018
102	-0.00148683509517715	0.000429471074483473	0.00179978006918719	0.00244403224454958	0.000233462994886936	0.000192008886268107	0.000195459419326841	0.000226040886584761
103	-0.001439967154483	0.000538695623159305	0.00175880138803223	0.00232058731665872	0.000233463956469962	0.000192028584924735	0.000195392380563021	0.000226007650747381
104	-0.00153273463527057	0.000686918475689987	0.00167675187343275	0.00215126268719165	0.000233468887718087	0.000192018475310875	0.000195290631854532	0.000225908053842314
105	-0.00155313332542638	0.000642319985570196	0.00167564786706214	0.00208494852252415	0.000233466697324551	0.000192018267122656	0.000195218669988122	0.000225885105779969
106	-0.00154186662751323	0.000459753981108896	0.00174379717181935	0.00210439410297315	0.000233449481704451	0.000192030224221741	0.000195188322619281	0.000225850419716921
107	-0.00146375547924367	0.000407842201395118	0.00172041372358035	0.00206457210020687	0.000233412700986916	0.000192034689230072	0.000195181478007141	0.000225815471105588
108	-0.00128897149129094	0.000424789109396136	0.00176183019386762	0.00205385132477918	0.000233400730971936	0.00019203828582421	0.000195175335050691	0.000225782414196394
109	-0.0012041811875449	0.000450455926233549	0.00161026165654726	0.0018942368449297	0.000233376407418816	0.00019205358595101	0.000195168903187055	0.00022572559850266
110	-0.0011850135338448	0.000516575275767088	0.00155774514419439	0.00169609809123469	0.000233346949374499	0.000192082336638732	0.000195138155852106	0.000225646432169636
